time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.89729128145e-08,7.67583668259e-08,10.0066833762,7.60728467215e-05,2.03675570329e-05,0.0,-1.86664578752e-06,7.26665263514e-06,0.222761539532,0.00369036301088,0.00100994123547,0.0,475.07184250011846,475.1492529103095,473.2567600908804,473.5406454597477
0.12000000000000001,-9.26722415423e-07,3.29283933215e-06,10.0238011226,6.28298186773,0.000207443722322,0.0,-4.18015285962e-05,0.00010804176708,0.34779953255,-0.0319302355553,0.00703198050728,0.0,444.81964191947617,445.3123786430148,446.0744160176528,443.15658980159265
0.18,-1.00104067085e-05,-2.55676312938e-06,10.0490681404,6.28069825754,0.000880637109561,0.0,-0.000321798220534,-0.000527008717985,0.494381568897,-0.0545980411254,0.0184997640956,0.0,450.764907371474,451.69041411118974,452.8602825257008,451.0327604989124
0.23999999999999996,-5.46145582352e-05,-0.000104828860061,10.0839561775,6.27696764976,0.00234671817775,0.0,-0.00131276262484,-0.00326884098965,0.668465298241,-0.0850544421658,0.0342389469019,0.0,459.21919542956067,460.46585811993776,461.5390662845751,459.12637992758374
0.3,-0.000192004469529,-0.000454450956175,10.1279104729,6.27230064904,0.00437272531167,0.0,-0.00348330926875,-0.00890014889274,0.796592145678,-0.0662085461788,0.0328055402982,0.0,445.67689884762717,445.56020056846313,446.0580739992518,447.5892917038331
0.36000000000000004,-0.000502430756909,-0.00123729110809,10.1794529548,6.26814926403,0.00594173503641,0.0,-0.00705635043548,-0.0176218463133,0.921391595232,-0.0759375144077,0.00750880618959,0.0,446.20068251825046,444.1311250917655,445.99587157534415,445.19699140255085
0.4200000000000001,-0.00103867166306,-0.0025920197828,10.235819598,6.26382367537,0.00611599352118,0.0,-0.0108490394966,-0.0279453998208,0.957459622453,-0.0653435999212,-0.00841962094571,0.0,417.73927075031423,416.3481385956044,416.5591874057914,417.4800122100871
0.48000000000000015,-0.00182079562629,-0.00470601490101,10.2973726639,6.25954863657,0.00570030521789,0.0,-0.0151717254667,-0.0429547790534,1.09417896596,-0.0869454181028,-0.00410053830363,0.0,449.52494461444485,449.87486630921296,449.9556214178963,448.1995607456957
0.5400000000000001,-0.00286879004439,-0.00788138198912,10.3696698953,6.25433062695,0.00563674294329,0.0,-0.0197422886501,-0.0635110565491,1.3154841278,-0.0870096507604,0.00441862612877,0.0,474.6815386068418,475.3347924862132,475.2122798484614,475.20163477391634
0.6000000000000002,-0.00417212134894,-0.0123144011717,10.4518087216,6.24927622611,0.00599531804364,0.0,-0.0237336864545,-0.0847812363869,1.42233231155,-0.0792110014199,0.00892257405551,0.0,440.9350022448659,441.30679349384366,440.3624275333571,441.00109134242996
0.6600000000000003,-0.00575080791026,-0.018282517984,10.5448152731,6.24468009245,0.00671718088143,0.0,-0.0289665179726,-0.114727864881,1.67752439418,-0.0718402882356,0.0176178851589,0.0,485.7469256082889,486.3983668976498,485.1475827442924,485.69651473246023
0.7200000000000003,-0.00765787691864,-0.0261275404271,10.6522616718,6.24063432396,0.00758623141662,0.0,-0.0347173903076,-0.147262020455,1.90365031028,-0.059816648008,0.00733597437302,0.0,478.41999215499055,477.6364337479976,477.7326010152975,478.64533240654646
0.7800000000000004,-0.00993058478632,-0.0360302765316,10.7735087382,6.23750257345,0.00818724614611,0.0,-0.0411004507967,-0.183217280601,2.13748986005,-0.0401743353539,0.0149018218553,0.0,480.4881084235529,481.06118236865404,480.7146439429479,482.1990149065311
0.8400000000000004,-0.0126129223273,-0.0482161786752,10.9099495396,6.23555943394,0.00920598076982,0.0,-0.048428764715,-0.223228697983,2.40998543274,-0.0201518042128,0.020839124425,0.0,492.45806555029986,492.8969133567154,492.6707629410933,494.14852157730786
0.9000000000000005,-0.015701618403,-0.062536174908,11.0562215473,6.23421459881,0.0107489718907,0.0,-0.0546614488007,-0.254221197737,2.46561869735,-0.0273720482873,0.0340219083634,0.0,427.585013299389,428.70673272378286,429.33121361730986,428.7181303993659
0.9600000000000005,-0.0192099021975,-0.078800329704,11.2069835806,6.23256599491,0.0131270299147,0.0,-0.0625045372929,-0.288074526484,2.55956103882,-0.027686892531,0.0489896016892,0.0,440.45769044407876,441.6945740256066,441.254883621698,441.2287009169487
1.0200000000000005,-0.0233096030357,-0.0973862240387,11.3684119711,6.23095811515,0.0156153521991,0.0,-0.0744951458711,-0.331631011665,2.8207559151,-0.0250771990113,0.0188940012055,0.0,492.25850182023186,490.02711908158676,492.0698503705,492.2629105009796
1.0800000000000005,-0.0281551599468,-0.118532162475,11.5437185102,6.22929572533,0.0165810688796,0.0,-0.0871390571189,-0.373392815965,3.02226539683,-0.0335645292599,0.00981051905734,0.0,474.5592485223144,473.8613956795686,477.4988552614189,476.8508047358815
1.1400000000000006,-0.0336991524414,-0.14196288028,11.7262717432,6.22720095027,0.0172516229511,0.0,-0.0977177733649,-0.407818354174,3.06271621798,-0.0377554406938,0.0137756249801,0.0,427.0513135369029,427.3892858990908,426.9189643880957,426.5606389702724
1.2000000000000006,-0.0398737161782,-0.167442743577,11.9102372056,6.22450733559,0.0181161506647,0.0,-0.108175431831,-0.441724374377,3.06942682271,-0.0656461209787,0.0156459357867,0.0,415.6588895118917,415.8226753143479,417.64053476041687,415.1991422773929
